Key	Ýngilizce	Türkçe
$Aim Vertical Sensitivity	Aim Sensitivity V	 Hedef Hassasiyeti Y
$Aim Vertical Sensitivity Desc	Controls the sensitivity of vertical looking while aiming a weapon.	 Bir silahý hedef alýrken dikey bakýþýn hassasiyetini kontrol eder.
$ALL	ALL	 TÜM
$All	All	 Tüm
$Ally	Ally	 Müttefik
$AlreadyAtThisBody	Already at this location	 Zaten bu konumda
$AltAttack	Alt Attack	 Alternatif Saldýrý
$AltKey	Alt Key	 Alt tuþu
$AMMO	AMMO	 CEPHANE
$AMMO_LRG	AMMO	 CEPHANE
$Ammunition	Ammunition	 Mühimmat
$AP	AP	 Eriþim noktasý
$APPLY	APPLY	 UYGULA
$ARGOS EXTRACTORS MINING OUTPOST	ARGOS EXTRACTORS MINING OUTPOST	 ARGOS ÇIKARMA MADENCÝLÝK KARAYOLU
$ARGOS_EXTRACTORS	ARGOS EXTRACTORS	 ARGOS SIKMA MAKÝNALARI
$Arrest	Arrest	 Tutuklamak
$ASCENDING	ASC	 ASC
$Assign	ASSIGN	 ATAMAK
$ASSIGN CREW	ASSIGN CREW	 EKÝP ATAYIN
$ASSIGN FAVORITE	ASSIGN FAVORITE	FAVORÝ ATAMA
$Assign Weapons	ASSIGN WEAPONS	 SÝLAHLARI ATAYIN
$ASSIGNED TO	ASSIGNED TO:	 ATANDI:
$ASSIGNED TO SLOT	ASSIGNED TO SLOT	 SLOT'A ATANDI
$ASSIGNMENT	ASSIGNMENT	 ATAMA
$assignment bonus	Assignment Bonus	 Atama Bonusu
$AssignmentCategoryCurrentOutpost	Current Outpost	 Mevcut Karakol
$AssignmentCategoryCurrentShip	Current Ship	 Mevcut Gemi
$AssignmentCategoryMisc	Miscellaneous	 Çeþitli
$AssignmentCategoryMiscDescription	Select a location to assign to	 Atanacak bir konum seçin
$AssignmentCategoryOutpost	outposts	 ileri karakollar
$AssignmentCategoryOutpostDescription	Select an outpost to assign to	 Atanacak bir karakol seçin
$AssignmentCategoryShip	ship	 gemi
$AssignmentCategoryShipDescription	Select a ship to assign to	 Atanacak bir gemi seçin
$Asteroid Belt	ASTEROID BELT	 ASTEROÝD KUÞAÐI
$ASTEROID BELTS	ASTEROID BELTS	 ASTEROÝD KUÞAKLARI
$ATMOSPHERE	ATMOSPHERE	 ATMOSFER
$ATTACH	ATTACH	 EKLEMEK
$Attach	ATTACH	 EKLEMEK
$ATTACH MOD	ATTACH MOD	 MODU EKLE
$ATTACH WIRE	ATTACH WIRE	 KABLO TAKIN
$ATTACHMENTS	Attachments	 Ekler
$AttemptsRemaining:	Attempts Remaining:	 Kalan deneme sayýsý:
$ATTRIBUTES	ATTRIBUTES	 ÖZNÝTELLÝKLER
$AUDIO	AUDIO	 SES
$Audio	Audio	 Ses
$Author:	Author:	 Yazar:
$AUTO BUILD	AUTO	 OTO
$AUTO COOK	AUTO COOK	 OTOMATÝK PÝÞÝRME
$Auto Pilot Engaged	Auto-Pilot Engaged	 Otomatik Pilot Devrede
$Auto Slot	Auto Slot	 Otomatik Yuva
$AutoMove	Auto-Move	 Otomatik hareket
$AUTOSAVE	AUTO SAVE	 OTOMATÝK KAYDET
$AutosavingMsg	Autosaving...	 Otomatik kaydediliyor...
$AutoSlot	AUTO SLOT ({0})	 OTOMATÝK YUVASI ({0})
$AVAILABLE	AVAILABLE	 MEVCUT
$available	Available	 Mevcut
$available missions	AVAILABLE MISSIONS	 MEVCUT GÖREVLER
$AVAILABLE MODS:	AVAILABLE MODS:	 MEVCUT MODLAR:
$AVAILABLE OUTPOSTS	AVAILABLE OUTPOSTS	 MEVCUT ÇIKIÞ NOKTALARI
$AVAILABLE PROJECTS:	AVAILABLE PROJECTS:	 MEVCUT PROJELER:
$AVAILABLE RECIPES:	AVAILABLE RECIPES:	 MEVCUT TARÝFLER:
$Available_Resources	Available Resources	 Mevcut kaynaklar
$BACK	BACK	 GERÝ
$Back	Back	 Geri
$BACKGROUND	BACKGROUND	 ARKA PLAN
$BACKTOGALAXY	BACK TO GALAXY	 GALAXY'E GERÝ DÖN
$BACKTOSYSTEM	BACK TO SYSTEM	 SÝSTEME GERÝ DÖN
$Basic	Basic	 Temel
$BasicMenuNav	MENU NAVIGATION	 MENÜ NAVÝGASYONU
$BasicMenuNav_Accept	Accept	 Kabul etmek
$BasicMenuNav_Cancel	Cancel	 Ýptal etmek
$BasicMenuNav_Down	Down	 Aþaðý
$BasicMenuNav_Left	Left	 Sol
$BasicMenuNav_Right	Right	 Sað
$BasicMenuNav_Up	Up	Yukarý
$BEAM_DevAccountCreate	Your temporary account has been created! Check your email and follow the verification link to complete the account creation process.	 Geçici hesabýnýz oluþturuldu! E-postanýzý kontrol edin ve hesap oluþturma iþlemini tamamlamak için doðrulama baðlantýsýný izleyin.
$BEARD	BEARD	 SAKAL
$BEDS	BEDS	 YATAKLAR
$BETHESDA GAME STUDIOS	BETHESDA GAME STUDIOS	 BETHESDA OYUN STÜDYOLARI
$BETHESDA.NET	MODS	 MODLAR
$BINDING CONFLICTS	BINDING CONFLICTS	 BAÐLAYICI ÇATIÞMALAR
$BIOME COMPLETE	BIOME COMPLETE	 BÝYOM TAMAMLANDI
$BIOMETRIC ID	BIOMETRIC ID	 BÝYOMETRÝK KÝMLÝK
$BIOSCAN	SCAN	 TARAMA
$BlackFleet	Black Fleet	 Kara Filo
$Blend	Blend	 Karýþým
$Blocked	Blocked	 Engellendi
$BOARD	BOARD	 PANO
$BODY	BODY	 VÜCUT
$BODY INFO SUBTITLE MOON	Moon of {0}	 {0} ayýnýn ayý
$BODY INSPECT	RETURN TO STARMAP	 STARMAP'A DÖNÜÞ
$BODY MAP	BODY MAP	 VÜCUT HARÝTASI
$BODY PART	BODY PART	 VÜCUT PARÇASI
$BodyAlreadyAdded	Can not add the same location to the route twice in a row.	 Ayný konum üst üste iki kez rotaya eklenemez.
$BONUS	BONUS	 BONUS
$BOOST	BOOST	 ARTIRMAK
$BOOSTPACK	BOOST	 ARTIRMAK
$Both	Both	 Ýkisi birden
$BOUNDARYREACHED_HEADER	BOUNDARY REACHED	 SINIRLARA ULAÞILDI
$BOUNDARYREACHED_MESSAGE	Open the map to explore another region, or return to your ship.	 Baþka bir bölgeyi keþfetmek için haritayý açýn veya geminize dönün.
$BOUNTY	BOUNTY	 ÖDÜL
$Bounty	Bounty	 Ödül
$BRIGHTNESS	BRIGHTNESS	 PARLAKLIK
$Brightness	Brightness	 Parlaklýk
$Build	Build	 Ýnþa etmek
$BUILD	BUILD	 ÝNÞA ETMEK
$BUILD LIMIT	BUILD LIMIT	 ÝNÞA LÝMÝTÝ
$Build Mod?	Build Mod?	 Modu Oluþtur?
$BUILD MODE	BUILD MODE	 ÝNÞA MODU
$BUILD REQUIREMENTS:	BUILD REQUIREMENTS:	 YAPI GEREKSÝNÝMLERÝ:
$Build Requirements:	Build Requirements:	 Yapý Gereksinimleri:
$BUILD RESOURCES NEEDED	BUILD RESOURCES NEEDED	 GEREKLÝ KAYNAKLARI OLUÞTURUN
$BUILD WITH	BUILD WITH	 ÝLE ÝNÞA EDÝN
$BuildBaseBot	BUILD BASE BOT	 TEMEL BOT OLUÞTURUN
$BuildConfirm1	Build part using:	 Aþaðýdakileri kullanarak parça oluþturun:
$BuildConfirm2	Remove part?	 Parça kaldýrýlsýn mý?
$BuildConfirm3	Attach part?	 Parça eklensin mi?
$BuildConfirm4	Detach part?	 Parça ayrýlsýn mý?
$BUILDING SHADERS:	BUILDING SHADERS:	 BÝNA GÖLGELENDÝRÝCÝLERÝ:
$BuildList	Build List	 Liste Oluþtur
$Built:	Built:	 Ýnþa edilmiþ:
$BULLDOZE	BULLDOZE	 GÖZDAÐI VERMEK
$BULLDOZE MODE	BULLDOZE MODE	BULLDOZE MODU
$Bulldozers	Bulldozers	 Buldozerler
$BUY	BUY	 SATIN ALMAK
$BUY ALL	BUY ALL	 HEPSÝNÝ AL
$BUY BACK	BUY BACK	 GERÝ AL
$BUY SHIPS	BUY SHIPS	 GEMÝ SATIN ALIN
$CAMERA	CAMERA	 KAMERA
$Camera	Camera	 Kamera
$Camera Roll	Camera Roll	 Kamera Rulosu
$Camera Type	Camera Type	 Kamera tipi
$CANCEL	CANCEL	 ÝPTAL ETMEK
$Cancel	Cancel	 Ýptal etmek
$CANCEL AND EXIT	CANCEL AND EXIT	 ÝPTAL VE ÇIKIÞ
$CANCEL MODIFICATION	CANCEL MODIFICATION	 DEÐÝÞÝKLÝÐÝ ÝPTAL ET
$CANCEL TRADE	CANCEL TRADE	 TÝCARETÝ ÝPTAL ET
$CancelTradeInProgress	Cancel trade in progress?	 Devam eden takas iptal edilsin mi?
$CANCEL_PICK	UNDO ({0})	 GERÝ AL ({0})
$CannotHackLockDifficulty	Skill too low for {1} lock.	 {1} kilidi için beceri çok düþük.
$CannotRemoveHomeShip	You cannot remove your home ship.	 Ana geminizi kaldýramazsýnýz.
$CannotSellHomeShip	You cannot sell your home ship.	 Ana geminizi satamazsýnýz.
$CannotTravelToAnUnknownBody	Cannot travel to an Unknown Location	 Bilinmeyen Bir Konuma Seyahat Edilemez
$CannotTravelToAStar	Cannot travel to a Star	 Bir Yýldýza seyahat edilemez
$CantFindQuickLoad	No quicksave found.	 Hýzlý kaydetme bulunamadý.
$CantInstallMod_Dependency	This mod cannot be installed since it depends on files that aren't present.	 Bu mod, mevcut olmayan dosyalara baðlý olduðundan yüklenemez.
$CantInstallMod_Invalid	This mod cannot be activated and should be deleted.	 Bu mod etkinleþtirilemez ve silinmelidir.
$CantLandUnlessOrbiting	You must be orbiting to land here	 Buraya inmek için yörüngede olmalýsýnýz
$CantOpenMap	Cannot open the map right now.	 Harita þu anda açýlamýyor.
$CantPlotShipTravelBlocked	Fast travel to your ship is restricted from this location.	 Bu konumdan geminize hýzlý seyahat yasaktýr.
$CantSaveNow	The game cannot be saved now.	 Oyun þu anda kaydedilemiyor.
$CAP	CAP	 KAP
$CAPACITY	CAPACITY	 KAPASÝTE
$CAPS	CAPS	 BÜYÜK HARFLER
$Captured	Captured	 Yakalandý
$Caravan	Caravan	 Karavan
$CarbonDioxideWarningString	+CARBONDIOXIDE	 +KARBONDÝOKSÝT
$CARGO	CARGO	 KARGO
$CARGO CAPACITY	CARGO CAPACITY	 KARGO KAPASÝTESÝ
$CARGO HOLD	Cargo Hold	 Yük ambarý
$Cargo Hold Full	Cargo Hold Full	 Kargo Ambarý Dolu
$CARGO SHIP	Cargo Ship	 Kargo gemisi
$Cargo Value	Cargo Value	 Kargo Deðeri
$CARGO_SHLD	CARGO (SHLD)	 KARGO (SHLD)
$CARRYWT	CARRY WEIGHT	AÐIRLIK TAÞIYIN
$CAS	CAS	 CAS
$CATEGORIES	CATEGORIES	 KATEGORÝLER
$Category_Aid	AID	 YARDIM
$Category_All	ALL	 TÜM
$Category_Ammo	AMMO	 CEPHANE
$Category_Apparel	APPAREL	 KONFEKSÝYON
$Category_Backpacks	PACKS	 PAKETLER
$Category_Helmets	HELMETS	 KASKLAR
$Category_Misc	MISC	 ÇEÞÝTLÝ
$Category_NewItems	NEW ITEMS	 YENÝ ÖÐELER
$Category_NoFeaturedItem	[NONE EQUIPPED]	 [DONANIMLI YOK]
$Category_Notes	NOTES	 NOTLAR
$Category_Resources	RESOURCES	 KAYNAKLAR
$Category_Spacesuits	SPACESUITS	 UZAY KIYAFETLERÝ
$Category_Throwables	THROWABLES	 ATILACAKLAR
$Category_Weapons	WEAPONS	 SÝLAHLAR
$CERTIFICATION	CERTIFICATION	 SERTÝFÝKA
$CHALLENGE PROGRESS	CHALLENGE PROGRESS	 ÝLERLEMEYE MEYDAN OKUYUN
$Challenge_Progress	CHALLENGE PROGRESS	 ÝLERLEMEYE MEYDAN OKUYUN
$CHANCE TO EVADE SCAN: 0%	CHANCE TO EVADE SCAN: 0%	 TARAMADAN KAÇMA ÞANSI: %0
$CHANCE TO EVADE SCAN: {0}%	CHANCE TO EVADE SCAN: {0}%	 TARAMADAN KAÇMA ÞANSI: %{0}
$CHANGE	CHANGE	 DEÐÝÞTÝRMEK
$CHANGE FILTER (TODO)	CHANGE FILTER (TODO)	 FÝLTREYÝ DEÐÝÞTÝR (YAPILACAK)
$Change sex	Change sex	 Cinsiyeti deðiþtir
$ChangeColors	Change Colors	 Renkleri Deðiþtir
$ChangedDLC_ConfirmReset	New downloadable content has been downloaded and is ready to be enabled by returning to the main menu. Do you want to enable it now?   	 Yeni indirilebilir içerik indirildi ve ana menüye dönülerek etkinleþtirilmeye hazýr. Þimdi etkinleþtirmek istiyor musunuz?
$ChangedDLC_WarnReset	New content is available.  Do you want to enable it now?	 Yeni içerik mevcut. Þimdi etkinleþtirmek istiyor musunuz?
$ChangedMods_ConfirmReset	The mod selection / load order has changed.  The game will now reload your data files.	 Mod seçimi / yükleme sýrasý deðiþti. Oyun þimdi veri dosyalarýnýzý yeniden yükleyecektir.
$CHANGEPRESET	CHANGE PRESET	 ÖN AYARI DEÐÝÞTÝR
$CHANGESEX	CHANGE SEX	 CÝNSÝYETÝ DEÐÝÞTÝR
$CHANGEUSER	CHANGE PROFILE	 PROFÝLÝ DEÐÝÞTÝR
$CHARACTER	CHARACTER	 KARAKTER
$charge	Charge	 Þarj
$Chargen	CHARGEN	 ÞARJ
$ChargenBackForward	BACK - FORWARD	 ÝLERÝ GERÝ
$CharGenConfirmExit	Save changes?	 Deðiþiklikleri Kaydet?
$ChargenDownUp	DOWN - UP	 AÞAÐI
$ChargenLeftRight	LEFT - RIGHT	 SOL SAÐ
$CharGenMustChooseBackgroundMessage	Select a background to continue.	 Devam etmek için bir arka plan seçin.
$CharGenMustRenamePlayerMessage	Character must be renamed.	 Karakter yeniden adlandýrýlmalýdýr.
$ChargenNarrowWide	NARROW - WIDE	 DAR GENÝÞ
$ChargenNoseTipDownUp	NOSE TIP DOWN - UP	 BURUN UCU AÞAÐI - YUKARI
$ChargenNostrilsInOut	NOSTRILS IN - OUT	 BURUN DELÝKLERÝ ÝÇ - DIÞ
$ChargenNostrilsUpDown	NOSTRILS UP - DOWN	BURUN DELLERÝ YUKARI - AÞAÐI
$ChargenRidgeInOut	RIDGE IN - OUT	 SIRT GÝRÝÞ - ÇIKIÞ
$ChargenRidgeNarrowWide	RIDGE NARROW - WIDE	 SIRT DAR - GENÝÞ
$ChargenScaleDownUp	SCALE DOWN - UP	 ÖLÇEK AÞAÐI - YUKARI
$ChargenShortLong	SHORT - LONG	 UZUN KISA
$ChargenUnderbiteOverbite	UNDERBITE - OVERBITE	 UNDERBITE - OVERBITE
$ChargenWattleInOut	WATTLE IN - OUT	 WATTLE GÝRÝÞ - ÇIKIÞ
$CHARGEN_BIOMETRIC_TEXT	Note: Biometric customizations can be changed later by visiting a genetics facility.	 Not: Biyometrik özelleþtirmeler daha sonra bir genetik tesisini ziyaret ederek deðiþtirilebilir.
$Chargen_BodyType	BODY TYPE	 GÖVDE TÝPÝ
$Chargen_Locomotion	LOCOMOTION	 HAREKET
$Chargen_PreviewHabSuit	TOGGLE HAB SUIT	 HAB SUIT'Ý GEÇÝÞTÝR
$Chargen_Rotate	Rotate Model	 Modeli Döndür
$CHARGEN_TRAITS	TRAITS	 ÖZELLÝKLER
$Chargen_WalkStyle	WALK STYLE	 YÜRÜYÜÞ STÝLÝ
$CHARISMA	CHARISMA	 KARÝZMA
$CHEEKS1	CHEEKS 1	 YANAKLAR 1
$CHEEKS2	CHEEKS 2	 YANAKLAR 2
$Choose	CHOOSE	 SEÇMEK
$Choose (#)	CHOOSE (#)	 SEÇMEK (#)
$CHOOSE COMPONENTS	CHOOSE COMPONENTS	 BÝLEÞENLERÝ SEÇÝN
$Cinematic	Cinematic	 Sinematik
$CLAIM	CLAIM	 ÝDDÝA
$CLASS	CLASS	 SINIF
$CLEAR	CLEAR	 TEMÝZLEMEK
$CLEAR MODE	CLEAR MODE	 MODU TEMÝZLE
$CLEAR ROUTE	CLEAR ROUTE	 ROTA TEMÝZLE
$ClearRoute_Confirm	Are you sure you want to remove all jumps?	 Tüm atlamalarý kaldýrmak istediðinizden emin misiniz?
$CLEAR_TRANSACTION	CLEAR TRANSACTION	 ÝÞLEMÝ TEMÝZLE
$CLOSE	CLOSE	 KAPALI
$CloseModManager_Confirm	Downloads still in progress. Are you sure you want to exit?	 Ýndirmeler halen devam ediyor. Çýkmak istediðine emin misin?
$CoastalBiome	{1} (Coast)	 {1} (Sahil)
$Cockpit	Cockpit	 Kokpit
$Colony Goods	Colony Goods	 Koloni Ürünleri
$COLOR	COLOR	 RENK
$COLOR 1	COLOR 1	 RENK 1
$COLOR 2	COLOR 2	 RENK 2
$COLOR 3	COLOR 3	 RENK 3
$COLOR MODE	COLOR MODE	 RENK MODU
$COMBAT	COMBAT	 SAVAÞ
$Combat	Combat	 Dövüþ
$COMBAT_SKILLS	COMBAT	 SAVAÞ
$COMBAT_SKILLS_ADVANCED	Advanced Combat skills	 Geliþmiþ Savaþ becerileri
$COMBAT_SKILLS_EXPERT	Expert Combat skills	 Uzman Savaþ becerileri
$COMBAT_SKILLS_MASTER	Master Combat skills	 Usta Savaþ becerileri
$COMING SOON	COMING SOON	 YAKINDA GELECEK
$CommandModeFail_Generic	This character can't do that.	 Bu karakter bunu yapamaz.
$CommandModeFail_Moral	This character won't do that.	 Bu karakter bunu yapmayacak.
$Common	Common	Yaygýn
$Companion Enabled	Pip-Boy App Enabled	 Pip-Boy Uygulamasý Etkinleþtirildi
$COMPARE TO EQUIPPED	COMPARE TO EQUIPPED	 DONANIMLI ÝLE KARÞILAÞTIRIN
$COMPARE TO EQUIPPED_LRG	COMPARE	 KARÞILAÞTIRMAK
$Compass_East	E	 e
$Compass_North	N	 N
$Compass_South	S	 S
$Compass_West	W	 W
$COMPLETE PROFILE	COMPLETE PROFILE	 PROFÝLÝNÝ TAMAMLA
$Completed	Completed	 Tamamlanmýþ
$Complete_Previous_Rank	Complete the previous rank challenge to unlock this rank.	 Bu rütbenin kilidini açmak için önceki rütbe mücadelesini tamamlayýn.
$COMPLETE_TRANSACTION	COMPLETE TRANSACTION	 ÝÞLEMÝ TAMAMLAYIN
$COMPLEXIONBLEMISHES	COMPLEXION BLEMISHES	 CÝLT LEKELERÝ
$COMPLEXIONCOLORTEMP	COMPLEXION COLOR TEMP	 CÝLT RENK SICAKLIÐI
$COMPONENT VIEW	COMPONENT VIEW	 BÝLEÞEN GÖRÜNÜMÜ
$COMPONENTS	COMPONENTS	 BÝLEÞENLER
$CONDITION	CONDITION	 DURUM
$Confirm	Confirm	 Onaylamak
$CONFIRM	CONFIRM	 ONAYLAMAK
$Confirm change preset	Choose a new character preset and discard your current changes?	 Yeni bir karakter ön ayarý seçip mevcut deðiþikliklerinizi iptal etmek mi istiyorsunuz?
$Confirm character	Confirm character?	 Karakter onaylansýn mý?
$Confirm character changes	Confirm changes to character?	 Karakterde yapýlan deðiþiklikler onaylansýn mý?
$CONFIRMATION	CONFIRMATION	 ONAYLA
$ConfirmContinue	Continue from your last saved game?	 Son kaydettiðiniz oyundan devam edilsin mi?
$ConfirmCraftPrompt	Use these components to craft this item?	 Bu öðeyi oluþturmak için bu bileþenler kullanýlsýn mý?
$ConfirmFastTravel	Fast travel to the selected location?	 Seçilen konuma hýzlý seyahat etmek mi istiyorsunuz?
$ConfirmFastTravelFuel	Travel to the selected location ({1} He3)?	 Seçilen konuma ({1} He3) seyahat edilsin mi?
$ConfirmInstallPrompt	Use these resources to install this mod?	 Bu modu yüklemek için bu kaynaklar kullanýlsýn mý?
$ConfirmLoad	Load this game?	 Bu oyun yüklensin mi?
$ConfirmModification	Confirm Modification?	 Deðiþiklik Onaylansýn mý?
$ConfirmModificationWithWarnings	There are warnings for the ship in the flight check. Confirm modification anyway?	 Uçuþ kontrolünde gemiye yönelik uyarýlar var. Yine de deðiþiklik onaylansýn mý?
$ConfirmNew	Start a new game?	 Yeni bir oyun mu baþlatacaksýnýz?
$ConfirmNewHomeShipInSpace	Make the {1} your new Home Ship? This will return the {2} for later use. All cargo and crew will be transferred.	{1} yeni Ana Geminiz yapýlsýn mý? Bu, daha sonra kullanmak üzere {2} deðerini döndürecektir. Tüm kargo ve mürettebat nakledilecek.
$ConfirmNew_HC	Start a new game on Survival?	 Survival'da yeni bir oyun mu baþlatacaksýnýz?
$ConfirmNew_HC_Mods	Start a new game on Survival? Mods are currently loaded. Note: Achievements are disabled.	 Survival'da yeni bir oyun mu baþlatacaksýnýz? Modlar þu anda yüklü. Not: Baþarýlar devre dýþýdýr.
$ConfirmNew_Mods	Start a new game? Mods are currently loaded. Note: Achievements are disabled.	 Yeni bir oyun mu baþlatacaksýnýz? Modlar þu anda yüklü. Not: Baþarýlar devre dýþýdýr.
$ConfirmOutpostRemoval	Removing an outpost is permanent. Proceed with removal?	 Bir karakolun kaldýrýlmasý kalýcýdýr. Kaldýrma iþlemine devam edilsin mi?
$ConfirmPerkSelect	Confirm selection?	 Seçim onaylansýn mý?
$ConfirmSellShip	Sell Ship for {1} Credits?	 {1} Kredi karþýlýðýnda Gemi Satýlsýn mý?
$ConfirmSellShipInsufficientFunds	This vendor does not have enough credits. Sell Ship for {1} Credits?	 Bu satýcýnýn yeterli kredisi yok. {1} Kredi karþýlýðýnda Gemi Satýlsýn mý?
$ConfirmStarborn	Start as new game as Starborn?	 Starborn gibi yeni bir oyuna mý baþlansýn?
$CONNECT INPUT	CONNECT INPUT	 GÝRÝÞÝ BAÐLA
$CONNECT OUTPUT	CONNECT OUTPUT	 ÇIKIÞI BAÐLA
$ConsoleOpening	Debug	 Hata ayýklama
$ConsoleOpening_Screenshot_KBM	Screenshot	 Ekran görüntüsü
$Constellation	Constellation	 takýmyýldýz
$CONTAINER	CONTAINER	 KONTEYNER
$Container_Weight	Container Weight	 Konteyner Aðýrlýðý
$CONTEST	CONTEST	 YARIÞMA
$ContextForSaveHeader	Enter some information about this save game	 Bu kayýtlý oyun hakkýnda bazý bilgiler girin
$ContextForSavePrompt	Context for this save	 Bu kaydetmenin baðlamý
$CONTINUE	CONTINUE	 DEVAM ETMEK
$Contraband	Contraband	 Kaçak
$Contrast	Contrast	 Zýtlýk
$Controller	Controller	 Denetleyici
$Controller Cursor Sensitivity	Controller Cursor Sensitivity	 Denetleyici Ýmleç Hassasiyeti
$Controller Cursor Sensitivity Desc	Scales the speed of the game cursor when using the controller.	 Denetleyiciyi kullanýrken oyun imlecinin hýzýný ölçeklendirir.
$Controller Look Sensitivity	Controller Look Sensitivity	 Kontrol Cihazý Görünüm Hassasiyeti
$Controller Look Sensitivity Desc	Controls the sensitivity of the looking stick on controller.	Denetleyicideki görünümlü çubuðun hassasiyetini kontrol eder.
$ControllerHotswap	Controller Hotswap	 Denetleyici Hotswap'ý
$ControllerHotswap Desc	If enabled, using the controller will toggle off keyboard controls, and vice versa.	 Etkinleþtirilirse, denetleyicinin kullanýlmasý klavye kontrollerini devre dýþý býrakacaktýr (veya bunun tersi de geçerlidir).
$CONTROLS	CONTROLS	 KONTROLLER
$Controls	Controls	 Kontroller
$COOK	COOK	 AÞÇI
$CookConfirm1	Prepare using:	 Aþaðýdakileri kullanarak hazýrlayýn:
$CookingStation	Cooking Station	 Piþirme Ýstasyonu
$COORDINATES:	COORDINATES:	 KOORDÝNATLAR:
$CoppaText	I have read and agree to the Terms of Service and the Privacy Policy and the Code of Conduct.	 Hizmet Koþullarýný, Gizlilik Politikasýný ve Davranýþ Kurallarýný okudum ve kabul ediyorum.
$CORROSIVE RESISTANCE	CORROSIVE RESISTANCE	 AÞINDIRICI DÝRENÇ
$COST	COST	 MALÝYET
$Count	Count	 Saymak
$CRAFT	CRAFT	 ZANAAT
$Craft	CRAFT	 ZANAAT
$CRAFTING	CRAFTING	 ÜRETMEK
$Crafting	Crafting	 Üretmek
$CRATERFACE	CRATERS	 KRATERLER
$CREATE CONNECTION	CREATE CONNECTION	 BAÐLANTI OLUÞTURUN
$CREATE OUTPUT LINK	CREATE OUTPUT LINK	 ÇIKTI BAÐLANTISI OLUÞTURUN
$CREATE TRANSFER LINK	CREATE TRANSFER LINK	 AKTARIM BAÐLANTISI OLUÞTURUN
$CreateAcct_BNET_BEAM_EMAIL_ADDRESS_ALREADY_TAKEN	That email address has already been used to create an account.	 Bu e-posta adresi zaten bir hesap oluþturmak için kullanýlmýþ.
$CreateAcct_BNET_BEAM_INVALID_EMAIL_ADDRESS	The email address entered was invalid.	 Girilen e-posta adresi geçersiz.
$CreateAcct_BNET_BEAM_INVALID_USERNAME	The username entered was invalid.	 Girilen kullanýcý adý geçersiz.
$CreateAcct_BNET_BEAM_USERNAME_ALREADY_TAKEN	That username has already been used to create an account.	 Bu kullanýcý adý zaten bir hesap oluþturmak için kullanýlmýþ.
$CreateAcct_BNET_CANNOT_CONNECT	Couldn't connect to the Bethesda.net servers.	 Bethesda.net sunucularýna baðlanýlamadý.
$CreateAcct_BNET_TIMEOUT	The connection has timed out.	 Baðlantý zaman aþýmýna uðradý.
$CreateOutputLink	Create Output Link	 Çýkýþ Baðlantýsý Oluþtur
$CreatePowerLink	Create Power Link	 Güç Baðlantýsý Oluþtur
$Creating quick account...	Creating quick account...	 Hýzlý hesap oluþturuluyor...
$CREDITS	CREDITS	 KREDÝ
$CREW	CREW	 MÜRETTEBAT
$CREW MAXIMUM	MAX CREW	 MAX MÜRETTEBAT
$CREW ROSTER	CREW ROSTER	 EKÝP KADROSU
$Crime	Crime	 Suç
$CRIME	CRIME	SUÇ
